point_id,x,y,z
344,-0.000523055,-0.0153169,0.000306494
345,-0.000529055,-0.0153209,0.000306494
346,-0.000523055,-0.0153209,0.000306494
347,-0.000529055,-0.0153169,0.000306494
348,-0.000523055,-0.0153169,0.000306494
349,-0.000529055,-0.0153209,0.000312494
350,-0.000523055,-0.0153209,0.000312494
351,-0.000529055,-0.0153169,0.000312494
352,-0.000523055,-0.0153169,0.000312494
353,-0.000529055,-0.0153209,0.000312494
354,-0.000523055,-0.0153209,0.000312494
355,-0.000529055,-0.0153169,0.000312494
356,-0.000523055,-0.0153169,0.000312494
357,-0.000529055,-0.0153209,0.000318494
358,-0.000523055,-0.0153209,0.000318494
359,-0.000529055,-0.0153169,0.000318494
360,-0.000523055,-0.0153169,0.000318494
361,-0.000523055,-0.0153449,0.000294494
362,-0.000517055,-0.0153449,0.000294494
363,-0.000523055,-0.0153389,0.000294494
364,-0.000517055,-0.0153389,0.000294494
365,-0.000523055,-0.0153449,0.000300494
366,-0.000517055,-0.0153449,0.000300494
367,-0.000523055,-0.0153389,0.000300494
368,-0.000517055,-0.0153389,0.000300494
369,-0.000523055,-0.0153449,0.000300494
370,-0.000517055,-0.0153449,0.000300494
371,-0.000523055,-0.0153389,0.000300494
372,-0.000517055,-0.0153389,0.000300494
373,-0.000523055,-0.0153449,0.000306494
374,-0.000517055,-0.0153449,0.000306494
375,-0.000523055,-0.0153389,0.000306494
376,-0.000517055,-0.0153389,0.000306494
377,-0.000523055,-0.0153449,0.000306494
378,-0.000517055,-0.0153449,0.000306494
379,-0.000523055,-0.0153389,0.000306494
380,-0.000517055,-0.0153389,0.000306494
381,-0.000523055,-0.0153449,0.000312494
382,-0.000517055,-0.0153449,0.000312494
383,-0.000523055,-0.0153389,0.000312494
384,-0.000517055,-0.0153389,0.000312494
385,-0.000523055,-0.0153449,0.000312494
386,-0.000517055,-0.0153449,0.000312494
387,-0.000523055,-0.0153389,0.000312494
388,-0.000517055,-0.0153389,0.000312494
389,-0.000523055,-0.0153449,0.000318494
390,-0.000517055,-0.0153449,0.000318494
391,-0.000523055,-0.0153389,0.000318494
392,-0.000517055,-0.0153389,0.000318494
393,-0.000523055,-0.0153449,0.000318494
394,-0.000517055,-0.0153449,0.000318494
395,-0.000523055,-0.0153389,0.000318494
396,-0.000517055,-0.0153389,0.000318494
397,-0.000523055,-0.0153449,0.000324494
398,-0.000517055,-0.0153449,0.000324494
399,-0.000523055,-0.0153389,0.000324494
400,-0.000517055,-0.0153389,0.000324494
401,-0.000523055,-0.0153389,0.000294494
402,-0.000517055,-0.0153389,0.000294494
403,-0.000523055,-0.0153329,0.000294494
404,-0.000517055,-0.0153329,0.000294494
