id,x,y,z,radius,diameter,mass
160,-0.000523525033229065,-0.0153392344162297,0.000300085604651245,1e-06,2e-06,4.18879020478639e-18
161,-0.000524230858171887,-0.015326984332611,0.000302103038775729,1e-06,2e-06,4.18879020478639e-18
162,-0.000528827319329223,-0.0153409239799901,0.000298714039918074,1e-06,2e-06,4.18879020478639e-18
163,-0.000523972433567346,-0.0153256469153859,0.000300616286364233,1e-06,2e-06,4.18879020478639e-18
164,-0.000515935671707053,-0.015329467972022,0.000300819128047775,1e-06,2e-06,4.18879020478639e-18
165,-0.000527827050611626,-0.0153332060019404,0.000301431982043657,1e-06,2e-06,4.18879020478639e-18
166,-0.000523727571238411,-0.0153307957847544,0.000302160554073034,1e-06,2e-06,4.18879020478639e-18
167,-0.000526088516555894,-0.0153427059499872,0.000298736353840474,1e-06,2e-06,4.18879020478639e-18
168,-0.000516255854436352,-0.0153265121891827,0.000303265381301617,1e-06,2e-06,4.18879020478639e-18
169,-0.000519468512094029,-0.0153244310223012,0.000303430402762061,1e-06,2e-06,4.18879020478639e-18
170,-0.000527340539744555,-0.0153344970172471,0.000299901535432488,1e-06,2e-06,4.18879020478639e-18
171,-0.00052238649457692,-0.0153223617103119,0.000304007437205341,1e-06,2e-06,4.18879020478639e-18
172,-0.000521164953146214,-0.015339749339464,0.000299432748058907,1e-06,2e-06,4.18879020478639e-18
173,-0.000516106606578899,-0.015332899999967,0.000297497999967234,1e-06,2e-06,4.18879020478639e-18
174,-0.000519887665224137,-0.0153366256886044,0.000298251243605107,1e-06,2e-06,4.18879020478639e-18
175,-0.000526962855886352,-0.0153311543073501,0.000301485660648985,1e-06,2e-06,4.18879020478639e-18
176,-0.000526186984105518,-0.0153371933061048,0.000303217863918207,1e-06,2e-06,4.18879020478639e-18
177,-0.000522036326935022,-0.0153310173567997,0.000301100438146635,1e-06,2e-06,4.18879020478639e-18
178,-0.000525896570562439,-0.0153357422978876,0.000299298021558651,1e-06,2e-06,4.18879020478639e-18
179,-0.000522954690171159,-0.0153334746176404,0.000301328948105717,1e-06,2e-06,4.18879020478639e-18
180,-0.000516285710416467,-0.0153375553464609,0.000298463874691893,1e-06,2e-06,4.18879020478639e-18
181,-0.000523884611863099,-0.0153293009464349,0.000299500999967105,1e-06,2e-06,4.18879020478639e-18
182,-0.000519618649614248,-0.015333030284038,0.000299821174492869,1e-06,2e-06,4.18879020478639e-18
183,-0.000521741168274653,-0.0153255327155736,0.000299500999967169,1e-06,2e-06,4.18879020478639e-18
184,-0.000524069664551422,-0.0153369643346027,0.000300557804285934,1e-06,2e-06,4.18879020478639e-18
185,-0.000525789455875424,-0.015324776165309,0.000301267421353142,1e-06,2e-06,4.18879020478639e-18
186,-0.000523876299896125,-0.0153383476387011,0.000297041454510079,1e-06,2e-06,4.18879020478639e-18
187,-0.000523856451793209,-0.015341138582858,0.000298644367561751,1e-06,2e-06,4.18879020478639e-18
188,-0.000527748460528389,-0.0153358553305649,0.00029845434900859,1e-06,2e-06,4.18879020478639e-18
189,-0.000523449820495576,-0.0153179324991743,0.000305346778338057,1e-06,2e-06,4.18879020478639e-18
190,-0.000524246499935138,-0.0153230313472533,0.000303630063826713,1e-06,2e-06,4.18879020478639e-18
191,-0.000520124357976564,-0.015337879205731,0.000299815460656229,1e-06,2e-06,4.18879020478639e-18
192,-0.000523067743667177,-0.0153201883729705,0.00030146251812732,1e-06,2e-06,4.18879020478639e-18
193,-0.000518001900623922,-0.01533351995907,0.000297651333137852,1e-06,2e-06,4.18879020478639e-18
194,-0.00052554759135387,-0.0153301431141707,0.000302671971472313,1e-06,2e-06,4.18879020478639e-18
195,-0.000527719214829675,-0.0153419219461201,0.000300046769406563,1e-06,2e-06,4.18879020478639e-18
196,-0.000514017877797027,-0.0153351240187881,0.000300520630895913,1e-06,2e-06,4.18879020478639e-18
197,-0.00052916599780207,-0.0153377959077628,0.000300009438658531,1e-06,2e-06,4.18879020478639e-18
198,-0.00052519019058859,-0.0153372395372913,0.000298158538658174,1e-06,2e-06,4.18879020478639e-18
199,-0.000519511591604438,-0.0153379898331672,0.000301735162606749,1e-06,2e-06,4.18879020478639e-18
200,-0.000522142341712385,-0.0153422284096068,0.000298239922585568,1e-06,2e-06,4.18879020478639e-18
