point_id,x,y,z
165,-0.000517055,-0.0153269,0.000300494
166,-0.000515055,-0.0153269,0.000300494
167,-0.000517055,-0.0153249,0.000300494
168,-0.000515055,-0.0153249,0.000300494
169,-0.000517055,-0.0153269,0.000300494
170,-0.000515055,-0.0153269,0.000300494
171,-0.000517055,-0.0153249,0.000300494
172,-0.000515055,-0.0153249,0.000300494
173,-0.000517055,-0.0153269,0.000302494
174,-0.000515055,-0.0153269,0.000302494
175,-0.000517055,-0.0153249,0.000302494
176,-0.000515055,-0.0153249,0.000302494
177,-0.000517055,-0.0153269,0.000302494
178,-0.000515055,-0.0153269,0.000302494
179,-0.000517055,-0.0153249,0.000302494
180,-0.000515055,-0.0153249,0.000302494
181,-0.000517055,-0.0153269,0.000304494
182,-0.000515055,-0.0153269,0.000304494
183,-0.000517055,-0.0153249,0.000304494
184,-0.000515055,-0.0153249,0.000304494
185,-0.000517055,-0.0153249,0.000316494
186,-0.000515055,-0.0153249,0.000316494
187,-0.000517055,-0.0153229,0.000316494
188,-0.000515055,-0.0153229,0.000316494
189,-0.000517055,-0.0153249,0.000318494
190,-0.000515055,-0.0153249,0.000318494
191,-0.000517055,-0.0153229,0.000318494
192,-0.000515055,-0.0153229,0.000318494
193,-0.000517055,-0.0153249,0.000318494
194,-0.000515055,-0.0153249,0.000318494
195,-0.000517055,-0.0153229,0.000318494
196,-0.000515055,-0.0153229,0.000318494
197,-0.000517055,-0.0153249,0.000320494
198,-0.000515055,-0.0153249,0.000320494
199,-0.000517055,-0.0153229,0.000320494
200,-0.000515055,-0.0153229,0.000320494
201,-0.000517055,-0.0153249,0.000320494
202,-0.000515055,-0.0153249,0.000320494
203,-0.000517055,-0.0153229,0.000320494
204,-0.000515055,-0.0153229,0.000320494
205,-0.000517055,-0.0153249,0.000322494
206,-0.000515055,-0.0153249,0.000322494
207,-0.000517055,-0.0153229,0.000322494
208,-0.000515055,-0.0153229,0.000322494
209,-0.000517055,-0.0153249,0.000300494
210,-0.000515055,-0.0153249,0.000300494
211,-0.000517055,-0.0153229,0.000300494
212,-0.000515055,-0.0153229,0.000300494
213,-0.000517055,-0.0153249,0.000302494
214,-0.000515055,-0.0153249,0.000302494
215,-0.000517055,-0.0153229,0.000302494
216,-0.000515055,-0.0153229,0.000302494
217,-0.000517055,-0.0153249,0.000302494
218,-0.000515055,-0.0153249,0.000302494
219,-0.000517055,-0.0153229,0.000302494
220,-0.000515055,-0.0153229,0.000302494
221,-0.000517055,-0.0153249,0.000304494
222,-0.000515055,-0.0153249,0.000304494
223,-0.000517055,-0.0153229,0.000304494
224,-0.000515055,-0.0153229,0.000304494
225,-0.000517055,-0.0153249,0.000304494
226,-0.000515055,-0.0153249,0.000304494
227,-0.000517055,-0.0153229,0.000304494
228,-0.000515055,-0.0153229,0.000304494
229,-0.000517055,-0.0153249,0.000306494
230,-0.000515055,-0.0153249,0.000306494
231,-0.000517055,-0.0153229,0.000306494
232,-0.000515055,-0.0153229,0.000306494
233,-0.000517055,-0.0153229,0.000312494
234,-0.000515055,-0.0153229,0.000312494
235,-0.000517055,-0.0153209,0.000312494
236,-0.000515055,-0.0153209,0.000312494
237,-0.000517055,-0.0153229,0.000314494
238,-0.000515055,-0.0153229,0.000314494
239,-0.000517055,-0.0153209,0.000314494
240,-0.000515055,-0.0153209,0.000314494
241,-0.000517055,-0.0153229,0.000314494
242,-0.000515055,-0.0153229,0.000314494
243,-0.000517055,-0.0153209,0.000314494
244,-0.000515055,-0.0153209,0.000314494
245,-0.000517055,-0.0153229,0.000316494
246,-0.000515055,-0.0153229,0.000316494
247,-0.000517055,-0.0153209,0.000316494
248,-0.000515055,-0.0153209,0.000316494
249,-0.000517055,-0.0153229,0.000316494
250,-0.000515055,-0.0153229,0.000316494
251,-0.000517055,-0.0153209,0.000316494
252,-0.000515055,-0.0153209,0.000316494
253,-0.000517055,-0.0153229,0.000318494
254,-0.000515055,-0.0153229,0.000318494
255,-0.000517055,-0.0153209,0.000318494
256,-0.000515055,-0.0153209,0.000318494
257,-0.000517055,-0.0153229,0.000318494
258,-0.000515055,-0.0153229,0.000318494
259,-0.000517055,-0.0153209,0.000318494
260,-0.000515055,-0.0153209,0.000318494
261,-0.000517055,-0.0153229,0.000320494
262,-0.000515055,-0.0153229,0.000320494
263,-0.000517055,-0.0153209,0.000320494
264,-0.000515055,-0.0153209,0.000320494
265,-0.000517055,-0.0153229,0.000300494
266,-0.000515055,-0.0153229,0.000300494
267,-0.000517055,-0.0153209,0.000300494
268,-0.000515055,-0.0153209,0.000300494
269,-0.000517055,-0.0153229,0.000302494
270,-0.000515055,-0.0153229,0.000302494
271,-0.000517055,-0.0153209,0.000302494
272,-0.000515055,-0.0153209,0.000302494
273,-0.000517055,-0.0153229,0.000302494
274,-0.000515055,-0.0153229,0.000302494
275,-0.000517055,-0.0153209,0.000302494
276,-0.000515055,-0.0153209,0.000302494
277,-0.000517055,-0.0153229,0.000304494
278,-0.000515055,-0.0153229,0.000304494
279,-0.000517055,-0.0153209,0.000304494
280,-0.000515055,-0.0153209,0.000304494
281,-0.000517055,-0.0153229,0.000304494
282,-0.000515055,-0.0153229,0.000304494
283,-0.000517055,-0.0153209,0.000304494
284,-0.000515055,-0.0153209,0.000304494
285,-0.000517055,-0.0153229,0.000306494
286,-0.000515055,-0.0153229,0.000306494
287,-0.000517055,-0.0153209,0.000306494
288,-0.000515055,-0.0153209,0.000306494
289,-0.000517055,-0.0153229,0.000306494
290,-0.000515055,-0.0153229,0.000306494
291,-0.000517055,-0.0153209,0.000306494
292,-0.000515055,-0.0153209,0.000306494
293,-0.000517055,-0.0153229,0.000308494
294,-0.000515055,-0.0153229,0.000308494
295,-0.000517055,-0.0153209,0.000308494
296,-0.000515055,-0.0153209,0.000308494
297,-0.000517055,-0.0153229,0.000308494
298,-0.000515055,-0.0153229,0.000308494
299,-0.000517055,-0.0153209,0.000308494
300,-0.000515055,-0.0153209,0.000308494
